,or4246,or2615,or351
f506,-0.984063564,-0.999556654,-0.978278431
f507,-0.997020549,-0.98496359,-0.988861619
f508,-0.99660037,-0.996359425,-1
f509,-0.542509485,-0.68818764,-0.878334113
f510,-0.865725519,-0.794454598,-0.989131223
f511,-0.998350694,-0.996137795,-0.993946632
f512,-0.966294085,-0.96027685,-0.976873557
f513,-0.942354763,-0.976873557,-0.96027685
f514,-0.991342216,-0.993946632,-0.996137795
f515,-0.992580491,-0.989131223,-0.794454598
f516,-0.929496178,-0.878334113,-0.68818764
f517,-0.979708406,-1,-0.996359425
f518,-0.987886276,-0.988861619,-0.98496359
f519,-0.983439548,-0.978278431,-0.999556654
f520,-0.989881074,-0.995829088,-1
f521,-0.980265164,-0.976742068,-0.997129992
f522,-0.777819268,-0.673637043,-1
f523,1,-0.509658802,-0.991123283
f524,-1,-0.430794287,-0.984235716
f525,-1,-0.421940796,-0.996472705
f526,-1,-0.422309691,-0.9913533
f527,-1,-0.435958824,-0.9997962
f528,-1,-0.426736437,-0.806930693
f529,-1,-0.446287897,-0.988326613
f530,-1,-0.622619933,-0.992462435
f531,-1,-0.424154169,-0.836383612
f532,-1,-0.445919002,-0.97588286
f533,-0.667994076,-0.496457681,-0.997097062
f534,-0.696030131,-0.536298392,-0.839009288
f535,-1,-0.470266103,-0.955456904
f536,1,-1,-0.692715232
f537,-1,-1,-0.976501413
f538,-1,-1,-0.845947666
f539,-1,-1,-0.989235616
f540,-0.824966573,-0.967181233,0.230769231
f541,-0.822535554,-0.967181233,0.111111111
f542,0.422222222,-0.57037037,-0.185185185
f543,-0.603773585,-0.830188679,-0.176470588
f544,0.235772358,-0.430894309,0.085106383
f545,-1,-1,-0.593582585
f546,0.291044776,-0.410447761,-0.757013346
f547,-0.980198915,-0.997778782,-0.796910212
f548,0.49489754,-0.512790348,-0.564495299
f549,-1,-0.993242507,-0.258604204
f550,-0.870550162,-1,0.167180225
f551,-1,-1,-0.109024421
f552,-1,-1,0.102342199
f553,-1,-1,-0.062337801
f554,0.644990014,-0.52886161,-0.802700336
f555,0.643629662,-0.530918085,-0.708146088
f556,-1,1,-0.636315364
f557,0.484375,-1,-0.6228618
f558,-1,-1,-0.733241825
f559,-1,-0.067567568,-0.7502778
f560,1,0.037245049,-0.15982727
f561,1,0.067191372,-0.549111997
f562,0.955223881,0.52238806,0.338913202
f563,-0.264864865,0.978378378,-0.691900943
f564,1,-0.442724458,-0.156911338
f565,-0.066666667,0.233333333,-0.548534103
f566,1,0.479713604,-0.120336051
f567,-0.973140871,-0.966751814,-0.092023365
f568,1,0.191247601,-0.411438249
f569,-0.708816705,-0.916983759,-0.411438249
f570,-1,1,-0.411438249
f571,0.580028441,-1,-0.411438249
f572,-1,-1,-0.411438249
f573,-1,-0.489413293,-0.411438249
f574,1,0.291222152,-0.411438249
f575,1,0.4398319,-0.411438249
f576,0.982275677,-0.171229625,-0.411438249
f577,1,0.483571192,-0.411438249
f578,0.903470032,0.963091483,-0.411438249
f579,-0.980700137,-0.993537667,-0.411438249
f580,0.837477477,1,0.103806023
f581,0.872253731,-0.154892352,0.126488517
f582,1,-0.380672192,0.218638939
f583,0.065355423,0.529083345,-0.068036079
f584,1,0.31713011,0.222526987
f585,1,-0.26199262,-0.439367177
f586,0.770984456,-0.347150259,-0.59773473
f587,-0.023973941,0.463192182,0.242222011
f588,0.787486339,0.121857923,-0.81382733
f589,1,-0.652173913,-0.252445817
f590,1,-0.272727273,0.21540765
f591,-0.181818182,-0.545454545,0.344348205
f592,1,-0.395348837,0.026808863
f593,1,0.31713011,0.021067843
f594,1,0.684601368,-0.588849234
f595,1,0.453775861,0.642487833
f596,0.176949228,0.312378086,0.602288194
f597,-0.720123417,-0.688139059,-0.069387755
f598,1,-0.873595586,0.160875161
f599,-0.368807339,-0.710091743,-0.998590759
f600,1,-0.02483147,-0.992345001
f601,1,-0.237757035,-0.999693235
f602,0.124365434,0.575498305,-0.643652003
f603,1,-0.179992081,-0.762120619
f604,0.140202311,0.646114236,-0.792128427
f605,0.146342857,-1,0.225176571
f606,0.683594921,-1,0.166017553
f607,1,-1,-0.918632903
f608,0.77735678,0.8273588,-0.837835878
f609,-0.708793819,-1,-0.517877212
f610,-0.938931298,-1,-0.40970459
f611,1,-0.697665337,-0.978175763
f612,1,-0.697826132,-0.432484295
f613,0.788958486,0.883025083,-0.635684379
f614,0.745870222,0.837671162,-0.851551138
f615,0.628191298,0.880858204,0.018316082
f616,0.628191298,0.880858204,-0.304207259
f617,1,0.462686567,-0.675147861
f618,0.942028986,0.420289855,-0.640043268
f619,-0.526049743,-0.457607145,-0.391598459
f620,-0.814089765,-0.763075505,-0.56566468
f621,0.021759416,-0.1639772,-0.623869759
f622,0.249738651,0.306502645,-0.845033071
f623,0.683559752,0.972947978,-0.272899429
f624,-0.892170766,-0.937563768,-0.740808509
f625,-0.202118976,0.314706326,-0.90267518
f626,0.839034205,-0.782696177,-0.649773513
f627,-0.010733453,-0.994633274,-0.196336119
f628,0.161067194,0.153656126,-0.698892671
f629,-0.273017893,-0.259993784,-0.719487997
f630,0.292214359,-0.103626693,-0.188695367
f631,0.184406845,-0.306384753,-0.505940468
f632,-1,0.636363636,-0.821421351
f633,-0.915344385,-0.831158476,-0.797398915
f634,0.033128613,0.970150117,-0.731116482
f635,-0.059209516,0.806478664,-0.555431821
f636,0.483799982,-0.998563711,-0.575036467
f637,-1,-0.848827688,-0.325902426
f638,-0.674542118,-0.33015352,0.026417793
f639,-0.479061113,-0.47599769,-0.366401193
f640,-0.427291501,-0.476047802,-0.835164978
f641,-0.577132294,-0.217797779,-0.297280055
f642,-0.867852869,-0.907715556,-0.294796281
f643,-0.071770335,-0.90430622,-0.47481401
f644,0.527103549,0.539045594,-0.698401729
f645,0.902654565,0.517313573,-0.286698686
f646,0.890887678,0.510135315,-0.399354436
f647,0.284918064,-0.205200076,-0.394910735
f648,-0.238331988,-0.914065099,-0.425721215
f649,1,-1,-0.561632261
f650,-0.894966434,-0.920842181,-0.347590539
f651,1,-0.296925344,-0.960187155
f652,1,-0.28195419,-0.827058694
f653,0.816453448,0.442939487,-0.591773431
f654,-0.993345603,0.510633947,-0.948578052
f655,-0.613834483,-0.887862069,-0.772223595
f656,-0.99521688,-0.891715487,-0.662742167
f657,-0.90914564,-0.864536407,-0.429227207
f658,-0.5274,-1,-0.967318279
f659,-0.3236,-1,-0.764396331
f660,-0.942553461,-1,-1
f661,-0.980136842,-1,-0.927921156
f662,-0.625713868,-1,-0.307313021
f663,-0.577281192,-0.200325349,-0.533352518
f664,0.792604495,-0.284178456,-0.7085311
f665,-0.922080857,-0.887430039,-0.3591036
f666,-0.168059127,-0.780137434,-0.56804324
f667,-0.952061814,-1,-0.79844093
f668,-0.932651695,-0.948328638,-0.246673115
f669,-0.573120969,-1,-0.506710027
f670,-0.843724861,-1,-0.742154081
f671,-0.828735404,-1,-0.701947009
f672,-0.833448318,-1,-0.197657564
f673,-0.916785428,-1,-0.933009824
f674,-0.172890628,-1,-0.945738551
f675,-0.753119031,-1,-0.929267834
f676,-0.569005836,-1,-0.847851471
f677,-0.597266174,-1,-0.866799777
f678,0.024437708,-1,-0.891136782
f679,0.024437708,-1,-0.751707824
f680,-0.928006706,-0.89877829,-0.479415941
f681,-0.077705157,0.180955418,-0.993002922
f682,-0.091978706,0.19474052,-0.748217268
f683,-0.229500416,0.650558525,-0.805859185
f684,-0.939252336,-1,-0.82667628
f685,-0.922280282,0.463938119,-1
f686,-0.807440005,0.735484099,-0.336145713
f687,0.076215261,0.824463186,-0.730704547
f688,0.173835787,0.782155172,-0.70447474
f689,-0.631626672,0.565002814,-0.994332583
f690,-0.048577877,0.974938468,-0.993817861
f691,-0.109408254,0.991805721,-0.999672739
f692,-0.138870222,0.86357443,-0.6537431
f693,0.929824561,-1,-0.778033944
f694,0.548387097,0.440860215,-0.757204171
f695,0.724285105,-0.976440461,0.171720714
f696,-0.08192,0.7984,0.116408496
f697,0.521724448,0.989300452,-0.774154429
f698,-0.054825888,0.180955418,-0.769194383
f699,-0.06798926,0.19474052,-0.146276452
f700,-0.211211699,1,-0.43366231
f701,-0.96413162,-1,-0.302530055
f702,-0.964529079,0.463938119,-0.458263391
f703,-0.710483551,0.735484099,-0.298918709
f704,0.09612569,0.824463186,-0.740517467
f705,0.384982072,0.782155172,-0.005811638
f706,-0.662795008,0.057448149,0.123775086
f707,-0.076292418,0.869255512,-0.410337472
f708,0.048875542,0.86357443,-0.514694811
f709,0.094678886,-0.998076454,-0.412386413
f710,0.214542499,-0.297258433,-0.58041014
f711,0.171536628,-0.805845411,-0.561916896
f712,-0.369486789,-0.99131038,-0.851823905
f713,-1,-0.26604385,-0.268770466
f714,-0.760981833,-0.591822693,-0.673121575
f715,-1,-1,-0.87582952
f716,-1,-0.932255761,-0.66506321
f717,-0.95861636,-1,-0.234359135
f718,-0.534527543,-0.896672414,-0.69271592
f719,-0.842757444,-0.987702323,-0.818191295
f720,0.540506431,-0.9483299,-0.600924132
f721,0.419109673,-0.648245223,-0.81846325
f722,0.262520313,-0.839725396,-0.950889102
f723,0.718851277,-0.610193584,-0.642169509
f724,-0.160003386,-0.314683416,-0.576671333
f725,-0.834064412,-0.869756774,-0.698464813
f726,-0.866514368,-0.922650002,-0.352041709
f727,-0.468500092,-0.937862264,-0.021251864
f728,1,-0.815972092,-0.392242757
f729,-0.721196945,-1,-0.843040071
f730,-0.929791304,-0.916823188,-0.211059345
f731,-0.290674104,-1,-0.321792077
f732,-0.169953984,-0.89280525,-0.443336824
f733,-0.360107832,-0.807926941,-0.710969075
f734,0.117902376,-0.611849012,-0.302137644
f735,-0.532292846,-1,-0.428050639
f736,-0.670396786,-0.495827632,-0.423819239
f737,-0.348284302,-0.648788844,-0.45315773
f738,0.815344124,-0.570212367,-0.99999669
f739,-0.90662191,-0.679432408,-0.40427598
f740,-0.872995646,-0.849166401,-0.879927581
f741,-0.03226075,0.578570537,-0.730868773
f742,-0.744625828,0.052852756,-0.325868565
f743,-0.562256245,-0.324963739,-0.451551966
f744,-0.533681606,-0.21602053,-0.473504921
f745,-0.285857763,0.989983713,-1
f746,0.995928457,1,-0.859960455
f747,0.391073796,0.299401438,-0.420479259
f748,-0.19680916,0.987499413,-0.970133934
f749,0.009583065,1,-1
f750,0.889295429,0.284458534,-0.923408827
f751,-1,-1,0.210549832
f752,0.536155246,0.989300452,-0.25892502
f753,1,-0.227239488,-0.999872342
f754,-1,-1,-0.786973026
f755,0.678238847,0.882057276,-0.996531188
f756,-0.699656279,-0.883953116,-0.994576171
f757,0.9996,0.8116,-0.788850789
f758,0.9996,0.8116,-0.969079915
f759,0.479219144,0.065806045,-0.99491261
f760,0.496140784,0.184316147,-0.978877599
f761,-0.562958028,-0.810792805,-0.854130353
f762,0.591468417,0.429368335,-0.649924197
f763,0.629368335,0.429368335,-0.755577964
f764,-0.692591738,-0.13085622,-0.937997636
f765,-0.744298319,-0.863159647,-0.781198733
f766,-0.803080163,-0.045412663,-0.445837711
f767,0.415127715,0.415127715,-0.573976745
f768,0.306601596,0.319000198,-0.805664225
f769,-0.375215497,-0.288163871,-0.968648275
f770,-0.848953836,-0.493988708,-0.900632622
f771,1,-0.187531764,-1
f772,0.581139074,0.063784069,-1
f773,0.729340502,0.161390735,-0.992129888
f774,1,0.220446752,-0.999935087
f775,1,0.187574594,-0.999932932
f776,1,-0.033442647,-0.999939437
f777,-0.001853093,-0.172961527,-0.367861751
f778,1,0.626254607,-0.571323791
f779,-1,-0.999626809,-0.718593637
f780,-0.999727957,-0.999586723,-0.653392594
f781,-0.999574553,-0.9996,-0.506345076
f782,-0.998704151,-0.973997894,-0.758409745
f783,-0.965754306,-1,-0.765452183
f784,-0.95968653,-1,-0.654382033
f785,-0.99613729,-0.410015406,-0.628930208
f786,-0.967165957,-0.806808511,0.130117137
f787,-0.733668342,-0.802473908,0.186367451
f788,0.97252208,0.57048577,-0.751950782
f789,0.483048584,0.857529036,-0.599595786
f790,-0.11246973,-0.301934293,-0.124274378
f791,-0.416919418,-0.924961883,-0.555584104
f792,0.032644178,-0.408052231,-0.877326231
f793,-0.214914694,-0.281629567,0.033979382
f794,-1,0.153396811,-0.437706954
f795,-0.919433854,-0.841902696,-0.959907129
f796,-0.923513514,-0.953108108,-0.915642465
f797,-0.221653282,-0.957792516,-0.874313324
f798,-0.369168288,-0.518105184,-0.875664773
f799,-1,-0.953591581,-0.939069274
f800,-0.663934226,-0.974036579,-1
f801,-0.104760552,-0.433987717,-0.889539506
f802,0.919927455,-0.999603105,-0.899143369
f803,1,-0.201008888,-0.911045374
f804,0.347996167,0.27462939,-1
f805,-0.511795544,-0.587811271,-0.975652429
f806,-1,-1,-1
f807,-0.057253212,0.078741838,-0.8279195
f808,0.785659995,0.834051178,-0.942413062
f809,0.845588235,-0.147058824,-0.965749773
f810,-1,-1,-0.982522626
f811,-0.663567145,-0.687925342,-0.878990441
f812,-0.317981897,-0.672379009,-0.960729617
f813,0.30088297,0.005769683,-0.98386782
f814,-0.786390963,-0.629600472,-0.953517566
f815,-0.413026688,-0.48304882,-0.986107012
f816,-0.104761905,-0.245238095,-0.994185872
f817,-0.520883241,-0.381835225,-0.939865311
f818,0.016433737,-0.124416953,-1
f819,-0.238104748,-0.187078736,-0.978112015
f820,-0.13403791,-0.227004822,-1
f821,0.177274154,-0.130329209,-0.969596107
f822,0.948759416,0.143323261,-0.716056679
f823,-0.059322034,-0.237288136,-0.997286127
f824,-0.734780158,-0.786076663,-0.968036132
f825,0.003067485,0.168711656,-0.804710009
f826,-0.99994468,-0.999959551,-0.998159338
f827,1,0.135667357,-0.116025387
f828,1,-0.158020618,-0.282664097
f829,0.993283526,0.201089326,-0.749148556
f830,1,0.193948323,-0.356255955
f831,0.561853314,-0.071609194,-0.287451311
f832,0.773524822,0.082147113,-0.603103143
f833,0.623546481,0.146670365,0.430763257
f834,-0.077845935,0.088677182,-1
f835,-0.779425644,-0.495753,-0.20375877
f836,0.705779335,0.297723292,-0.532631807
f837,0.22674622,-0.045553659,-0.995212087
f838,0.901069824,0.016182259,-0.67714357
f839,-1,-0.004852121,-1
f840,-1,0.270285559,-0.116025387
f841,-0.085143496,-0.345447268,-0.282664097
f842,-0.911359462,-0.783208319,-0.355506963
f843,-1,0.286069284,-0.749148556
f844,0.33397988,0.379056613,-0.274183702
f845,-0.290582313,-0.026953944,-0.712860313
f846,-0.125040265,0.704279256,-0.603103143
f847,-0.259006977,0.985121347,0.138645987
f848,-0.53664842,0.3935554,-1
f849,0.152688406,0.283614458,-0.602754214
f850,0.11463317,0.978031054,-1
f851,-0.782942337,0.385661039,-1
f852,-0.89487962,-0.180061038,-1
f853,-0.566110623,-0.04951712,-1
f854,-0.651401765,0.092594661,-1
f855,1,0.422993492,-1
f856,-0.861388643,-0.330213735,-1
f857,-0.988367429,-0.977135981,-1
f858,-0.603053435,-0.58840941,0.535360328
f859,-0.297828536,-0.354983121,-0.021200216
f860,0.854020338,0.132305273,-0.747063345
f861,-0.383611916,0.705728792,-0.758044751
f862,-0.882537233,-0.959862856,-0.976279232
f863,1,0.056264542,-1
f864,0.911881307,-0.189959709,-0.97987218
f865,0.888601036,0.515181347,-0.247230626
f866,1,-0.184315287,-0.976874225
f867,0.955602504,-0.380915593,-0.986479153
f868,1,0.158290476,-0.844719509
f869,1,0.024723629,-0.930643595
f870,-0.852686503,-0.89003881,-0.930636962
f871,1,0.310188289,-0.751578734
f872,0.922746877,-0.433869391,-0.916526363
f873,0.670028719,-0.046782864,-0.998922368
f874,1,0.013081061,-0.515411488
f875,1,-0.068513716,-0.863909474
f876,-0.056081708,-0.330238316,-0.746344227
f877,0.012592341,-0.642183918,-0.637817124
f878,1,0.150697624,-0.623867431
f879,0.761879857,1,-0.998535863
f880,-0.520094671,-0.604510158,-0.93235856
f881,0.724711191,-0.054151625,-0.606565543
f882,-0.494692199,0.636332232,-0.973993226
f883,-0.739368594,-0.995899959,-0.345983889
f884,-0.992339744,-0.971367521,-0.542603755
f885,0.779793293,0.23834634,-0.489012302
f886,-0.722041531,-0.084063047,-0.543563435
f887,-0.998648101,-0.994051643,-0.844374258
f888,0.960726084,0.067161177,-0.644783026
f889,-0.427079076,0.183951481,-0.644783026
f890,-0.992339744,-0.971367521,-0.289792664
f891,-0.990059612,-0.971964916,-0.248948068
f892,0.158810332,-0.100905098,-0.407808297
f893,0.601677835,0.250758671,-0.397126544
f894,-0.161267851,-0.441309648,-0.842533807
f895,-0.186510264,-0.161524927,-0.808341202
f896,-0.192547024,-0.171696648,-1
f897,1,-0.033442647,-1
f898,0.750570841,0.450477305,-0.407808297
f899,1,0.626254607,-1
f900,0.018372703,-1,-1
f901,-1,-0.123796455,-1
f902,-0.809561984,-0.816563346,-0.686078319
f903,1,-0.02483147,-0.637383397
f904,0.124365434,0.575498305,-0.543627526
f905,-0.85391566,-0.89135255,-0.636599439
f906,1,0.415383755,-0.642938164
f907,0.213381167,0.049522087,-0.936285343
f908,0.188287544,-0.136696963,-0.963165671
f909,-0.861829707,-0.865645474,-0.842673398
f910,-0.056046931,-0.103610108,-0.586204254
f911,0.000648749,0.98220088,-0.457344952
f912,-0.512383164,0.003596593,-0.457344952
f913,-0.201508413,-0.269486268,-0.480414497
f914,0.785377138,0.923962368,-0.812068639
f915,0.299670379,0.21111804,-0.927718706
f916,0.947607274,-0.240700688,-0.797809612
f917,0.795253537,0.883520118,-0.79294911
f918,-0.223174394,0.984337768,-0.427335044
f919,0.373158369,0.898493964,-0.560389893
f920,-0.294594595,0.229813814,-0.733303682
f921,-0.321290375,0.86925765,-0.565109121
f922,-0.802275377,-0.79485891,-0.480414497
f923,0.913806328,1,-0.484080344
f924,0.840775288,0.979741642,-0.721428688
f925,0.933862434,0.568783069,-0.74042813
f926,1,-0.221566714,-0.195813755
f927,0.67578552,0.539661407,-0.99401095
f928,0.33632287,0.051121076,-0.315577159
f929,-1,-1,-0.400214864
f930,1,0.094972067,-0.836131117
f931,-0.596057402,-0.518375781,-0.008376942
f932,0.785659995,0.820344565,-0.16911908
f933,0.863636364,-0.136363636,-0.787493639
f934,-0.866435722,-0.869899887,-1
f935,-0.632090735,-0.814427487,-1
f936,0.30088297,0.005769683,0.552263175
f937,-0.536072223,-0.19554607,-0.836139436
f938,0.047555075,-0.077411492,-0.299292855
f939,0.22875817,0.010849673,-0.92069368
f940,-0.25203252,-0.065528455,-0.202636883
f941,0.133450804,-0.045152613,-0.51934608
f942,0.171952999,0.250441594,-0.721039173
f943,0.232724981,0.060323005,0.993919215
f944,0.629535633,0.152182363,-0.04003663
f945,0.958548609,0.193119069,-0.22684018
f946,0.047169811,-0.150943396,-0.242199984
f947,-0.148801447,-0.33966531,-0.561047127
f948,0.553444181,0.722090261,-1
f949,1,0.483146067,-1
f950,1,0.135667357,0.952812015
f951,1,-0.157206754,-0.852982473
f952,0.993288872,0.201725301,-0.852982473
f953,1,0.16440234,-1
f954,0.561912762,-0.077380389,-1
f955,0.774104796,0.056003696,-1
f956,0.623731895,0.135765784,-1
f957,-0.077845935,0.088677182,-0.99699176
f958,-0.779425644,-0.495753,-0.836465548
f959,0.705779335,0.2882662,-0.994701769
f960,0.22674622,-0.046887762,-0.807480548
f961,0.901069824,0.00666884,-1
f962,-1,0.067405851,-0.817648536
f963,-1,0.331142751,-0.959317029
f964,0.070876678,-0.233819455,-0.779829249
f965,-0.320815414,0.660222746,-0.976125127
f966,-1,0.796944068,-0.976125127
f967,0.333928095,0.360315674,-1
f968,0.073734636,0.470952003,-1
f969,-0.1272658,0.692733549,-1
f970,-0.326639437,0.620660313,-1
f971,-0.258616183,0.985201953,-0.752671521
f972,-0.53664842,0.387553309,-0.901378849
f973,0.153080917,0.252966191,-0.994281503
f974,0.129897559,0.984746585,-0.998101558
f975,-0.782274027,0.386848472,-0.988542693
f976,-0.89487962,-0.183452018,-0.998092918
f977,-0.555495593,-0.049289441,-1
f978,-0.645562433,0.094997445,-0.977464237
f979,1,0.492576628,-0.997224654
f980,-0.639888579,-0.171253482,-0.997944667
f981,-0.989082224,-0.983964517,-0.989633866
f982,-0.820835139,-0.816548668,-0.998949682
f983,-0.948855158,-0.951276301,-0.999712793
f984,0.854020338,0.118522906,-0.966358763
f985,0.268115942,-1,-0.938352126
f986,-0.868903066,-1,-0.998596026
f987,0.093570308,-1,-0.996213433
f988,-0.851290441,-0.537748159,-0.999853624
f989,-0.128448532,-1,-1
f990,-0.241384093,-0.761690128,-0.998747945
f991,1,0.061038885,-1
f992,1,-0.160787316,-0.99662342
f993,0.888601036,0.493834197,-0.991455132
f994,1,-0.204219745,-0.998443041
f995,0.955602504,-0.386170979,-0.998630052
f996,1,0.125091068,-0.999950675
f997,1,-0.000286575,-0.942275804
f998,-0.502555515,-0.638878777,-0.998483668
f999,1,0.279493372,-0.997914199
f1000,0.922746877,-0.435263802,-0.963541306
f1001,0.670028719,-0.611643886,-0.993199196
f1002,1,0.00548928,-0.998433193
f1003,1,-0.068513716,-0.982683681
f1004,0.591753653,0.128914405,-0.988237956
f1005,0.204741257,-0.575093144,-0.934792442
f1006,1,0.144412203,-0.983715689
f1007,0.769548252,1,-0.974081215
f1008,0.02453475,-0.167262777,-0.989804857
f1009,0.962273838,0.028895324,-1
f1010,-0.494692199,0.603565402,-1
f1011,-0.581238472,-0.993412385,-1
f1012,-0.937994016,-0.804555753,-1
f1013,0.6876,0.1798,-1
f1014,-0.636766593,-0.04770792,-1
f1015,-0.998314228,-0.993594066,-1
f1016,0.960726084,0.057676213,-1
f1017,-0.171775933,0.674989079,-1
f1018,-0.937994016,-0.804555753,-1
f1019,-0.975867405,-0.9338483,-1
f1020,0.158810332,-0.153550442,-1
f1021,0.931639119,0.490293139,-1
f1022,-0.258953168,-0.498928681,-1
f1023,0.122168285,0.101375405,-1
f1024,0.127067366,0.100524405,-1
